Age,Gender,How would you rate your overall digital proficiency?,How often do you use mobile apps for daily tasks?,Are you aware of any mobile apps designed for waste management or recycling?,Have you used any of these apps?,Which apps have you used,How effective do you find these apps in helping you manage waste?,What features of these apps do you find most helpful?,What improvements would make these apps more effective for you?,How often do you recycle? ,What prevents you from using waste management apps more frequently?,Do you think you will ever try to use a waste-management app?,What prevents you from recycling more frequently?
,,,,,,,,,,,,,
26-35,Female,4,5,No,No,,,,,4,Lack of awareness,,Lack of information
18-25,Female,4,5,No,No,,,,,4,Lack of awareness,,"Inconvenience, Lack of information"
26-35,Male,5,5,Yes,Yes,,3,,,5,Not applicable to me,,Other
26-35,Male,5,2,No,No,,,,,4,"Lack of awareness, Not applicable to me",,Inconvenience
26-35,Male,4,3,No,,"RecycleNation, iRecycle, MyWaste, Zero Waste Home, Recycle Coach, GoRecycle, PaperKarma, JouleBug, TrashOut, Love Food Hate Waste",,,,5,"Lack of awareness, Not applicable to me",,"Inconvenience, Lack of facilities, Lack of information, Other"
18-25,Male,4,5,No,No,,,,,5,Lack of awareness,,Lack of information
18-25,Male,4,5,No,No,,,,,3,Lack of awareness,,Inconvenience
18-25,Female,4,5,No,No,,2,,,4,"Lack of awareness, Other",,"Inconvenience, Lack of facilities"
18-25,Female,5,4,No,No,,,,,3,Lack of awareness,,Lack of facilities
18-25,Male,3,3,Yes,Yes,Zero Waste Home,4,"Notifications, Information on recycling",Other,5,Lack of time,,Inconvenience
18-25,Male,5,5,No,No,,,,,4,Lack of awareness,,Inconvenience
,,,,,Yes,,,,,,,,
26-35,Female,4,5,No,No,,,,,4,Lack of awareness,Yes,
18-25,Male,4,3,No,No,,,,,4,"Lack of awareness, Poor app design",Yes,
18-25,Male,3,4,Yes,Yes,Zero Waste Home,3,Waste tracking,Better design,,,,
18-25,Female,4,2,Yes,No,,,,,4,Lack of time,Yes,
18-25,Female,3,2,No,No,,,,,4,"Lack of awareness, Lack of time",No,
18-25,Male,4,2,No,No,,,,,4,"Lack of awareness, Lack of time",Yes,
18-25,Male,5,2,No,No,,,,,3,Lack of awareness,Yes,
18-25,Male,4,2,Yes,Yes,RecycleNation,3,Information on recycling,Better design,,,,
18-25,Male,3,4,No,No,,,,,4,"Lack of awareness, Lack of time",Yes,
18-25,Female,3,4,No,No,,,,,4,"Lack of awareness, Lack of time",No,
26-35,Female,4,3,No,No,,,,,4,"Lack of awareness, Lack of time",No,
18-25,Female,4,4,Yes,Yes,"RecycleNation, Zero Waste Home",3,"Information on recycling, Waste tracking",Better design,,,,
18-25,Female,3,4,Yes,Yes,"RecycleNation, iRecycle",4,"Notifications, Information on recycling, Waste tracking",Better design,,,,
18-25,Female,3,4,Yes,Yes,"iRecycle, MyWaste",3,"Notifications, Waste tracking",Better design,,,,
26-35,Male,4,3,Yes,Yes,MyWaste,2,Information on recycling,Better design,,,,
18-25,Male,4,3,Yes,No,,,,,4,"Lack of awareness, Lack of time",No,
18-25,Male,3,2,No,No,,,,,4,Lack of awareness,No,